REF,Company (Manufacturer),Company Location,Review Date,Country of Bean Origin,Specific Bean Origin or Bar Name,Cocoa Percent,Ingredients,Most Memorable Characteristics,Rating
1205,Habitual,Canada,2014,Blend,one hundred,100%,,"unrefined, bitter, earthy",2
701,Haigh,Australia,2011,Blend,South America and Africa,70%,,"vanilla, chocolate milk",3
1113,Hotel Chocolat,U.K.,2013,St. Lucia,"Island Growers, 2012, 120hr c., batch 13080",100%,,"pastey, bitter, unfixable",1.75
296,Hotel Chocolat (Coppeneur),U.K.,2008,Uganda,Uganda,80%,,"charred, espresso",2.5
552,Hotel Chocolat (Coppeneur),U.K.,2010,Ecuador,Ecuador,70%,,"spicy, sour, burning",2.75
552,Hotel Chocolat (Coppeneur),U.K.,2010,Dominican Republic,Santo Domingo,70%,,"earthy, woody, sour mint",3
1109,Hotel Chocolat (Coppeneur),U.K.,2013,Peru,"Chanchamayo, Pichanadi, 2012, 60hr c., b.13092",100%,,"spice,cocoa, tolerable bitter",2.75
1113,Hotel Chocolat (Coppeneur),U.K.,2013,Dominican Republic,"Conacado, 2012, 120hr c.batch 13092",100%,,"trop. Fruit, coffee, bitter",2.75
387,Kakao,Germany,2009,Vanuatu,Vanuatu,65%,,"cocoa, strong distinct spice",3.75
837,Kakao,Germany,2012,Peru,Peru,64%,,"chewy, vanilla, metallic",2.5
404,Kaoka (Cemoi),France,2009,Blend,Noir,70%,,mild bitter and chemical off,2.75
423,Kaoka (Cemoi),France,2009,Ecuador,Ecuador,80%,,"spicy, floral, bitter",2.75
1892,La Chocolaterie Nanairo,Japan,2016,Peru,"Lumas, 2015 Harvest, Batch 6, brown sugar",70%,,"molasses, cardboard, off note",2.25
1892,La Chocolaterie Nanairo,Japan,2016,Peru,"Lumas, 2015 Harvest, Batch 7",70%,,"metallic, cardboard, fruit",2.5
1892,La Chocolaterie Nanairo,Japan,2016,Belize,"Belize, 2014 Harvest, Batch 9",70%,,"nutty, fatty",3
1892,La Chocolaterie Nanairo,Japan,2016,Peru,"Tumbes, 2013 Harvest, Batch 8",70%,,"grit, earthy, musty",3
721,La Oroquidea,Peru,2011,Peru,Peruvian Amazon,72%,,"peanut butter, burnt rubber",2.5
713,La Pepa de Oro,Ecuador,2011,Ecuador,Vinces,60%,,"sweet, fudgey, tang",3.25
