,Company Location,Rating
0,Amsterdam,3.21875
1,Argentina,3.15
2,Australia,3.4338235294117645
3,Austria,3.1923076923076925
4,Belgium,3.0865384615384617
5,Brazil,3.1944444444444446
6,Canada,3.357876712328767
7,Chile,3.75
8,Colombia,2.5
9,Costa Rica,3.09375
10,Czech Republic,3.0
11,Denmark,3.3793103448275863
12,Dominican Republic,2.9
13,Ecuador,3.0
14,Finland,3.25
15,France,3.2302631578947367
16,Germany,3.1323529411764706
17,Guatemala,3.6875
18,Honduras,3.2083333333333335
19,Hungary,3.25
20,Iceland,3.3125
21,India,2.75
22,Ireland,2.9
23,Israel,3.125
24,Italy,3.268292682926829
25,Japan,3.111111111111111
26,Lithuania,3.0
27,Madagascar,3.1
28,Malaysia,2.8333333333333335
29,Mexico,3.25
30,Netherlands,3.0
31,New Zealand,3.18
32,Nicaragua,3.1
33,Peru,3.1029411764705883
34,Philippines,3.1666666666666665
35,Poland,3.375
36,Portugal,2.75
37,Puerto Rico,2.5
38,Russia,3.25
39,Sao Tome,2.375
40,Scotland,3.8125
41,Singapore,3.25
42,South Africa,2.75
43,South Korea,3.1818181818181817
44,Spain,3.1470588235294117
45,St. Lucia,3.0
46,Suriname,3.25
47,Sweden,3.0
48,Switzerland,3.393939393939394
49,Taiwan,3.1
50,Thailand,3.3
51,U.A.E.,3.4
52,U.K.,3.023026315789474
53,U.S.A.,3.2194337194337193
54,Vanuatu,2.75
55,Venezuela,3.107142857142857
56,Vietnam,3.3833333333333333
