,characteristics,frequency,percentage
3,sweet,4,0.14285714285714285
0,cocoa,3,0.10714285714285714
6,woody,2,0.07142857142857142
11,smokey,2,0.07142857142857142
12,mocha,1,0.03571428571428571
19,sour milk,1,0.03571428571428571
18,bready,1,0.03571428571428571
17,rich cocoa,1,0.03571428571428571
16,creamy,1,0.03571428571428571
15,nutty,1,0.03571428571428571
14,butterscotch,1,0.03571428571428571
13,sticky,1,0.03571428571428571
10,fruit,1,0.03571428571428571
1,strong distinct spice,1,0.03571428571428571
9,spicy,1,0.03571428571428571
8,sandy,1,0.03571428571428571
7,rubbery,1,0.03571428571428571
5,basic,1,0.03571428571428571
4,metallic,1,0.03571428571428571
2,unrefined,1,0.03571428571428571
20,fatty,1,0.03571428571428571
