,p-value,coef,name
35,2.097272898561196e-27,-0.5985995531163897,bitter
79,0.00031587057447746885,-0.6114844623977529,burnt rubber
81,0.00022507809106395293,-1.0352698983382458,burnt up front
109,2.912281404903066e-06,-0.4637211465317797,chemical
110,0.00027812009291074336,-0.7331522141326681,chemical off
176,0.0003395651918179827,-0.26209475748266,dirty
188,1.644917861827341e-08,-1.586933208296437,dominate off note
198,1.5672572461130652e-05,-0.1457134210753741,earthy
233,7.896308686446932e-05,-0.6495626658364557,fuel
259,1.8138714596064723e-05,-0.43008392212755253,harsh
280,2.7429756071522943e-10,-1.7852698983382669,high intensity bitter
344,1.1804610394531485e-05,-0.4898701640024477,medicinal
355,3.566586940306344e-05,-0.2857104082489439,metallic
420,7.111959071114645e-06,-0.20362623685888276,molasses
426,0.00045969046479130116,-0.9995594900893277,multiple off flavors
446,0.0003076027553384436,-0.6247729078042421,off flavor
448,0.0007452214625677559,-0.35767955034095145,off note
449,1.0039177193926957e-06,-0.40264463694884145,off notes
472,0.00010616708613609587,-0.5181142075859583,pastey
495,1.432875985180044e-09,-0.39055523359481853,pungent
541,4.297555644295221e-05,-0.3909876193433816,rubber
543,9.077753287951694e-07,-0.3703540267156036,rubbery
597,4.09344126597937e-05,-0.15181601638680134,sour
615,0.00030760275533844275,-0.6247729078042424,spciy
632,4.568876758513099e-07,-0.9578228777540073,strong bitter
633,1.313356376789652e-11,-1.4709727530061776,strong chemical
680,1.0382239532506623e-15,-2.2852698983382664,this is not chocolate
700,5.753289067991481e-05,-0.4292160874625164,unrefined
702,2.6449696865867593e-05,-0.37151311116234004,vanilla
707,1.1514932738384269e-22,-1.7611848362752736,very bitter
708,0.0007724318639790885,-0.9916216590614813,very bland
