Company (Manufacturer),mean cocoa percent,median cocoa percent,max cocoa percent,min cocoa percent
Pacari,100.0,100.0,100.0,100.0
Coppeneur,100.0,100.0,100.0,100.0
TCHO,99.0,99.0,99.0,99.0
Bouga Cacao (Tulicorp),88.5,88.5,100.0,77.0
Pralus,87.5,87.5,100.0,75.0
Claudio Corallo,86.75,86.75,100.0,73.5
Nanea,85.0,85.0,85.0,85.0
Chocolate Alchemist-Philly,85.0,85.0,90.0,80.0
Hotel Chocolat (Coppeneur),84.88888888888889,82.0,100.0,70.0
Vintage Plantations (Tulicorp),82.5,82.5,100.0,65.0
Peppalo,82.0,82.0,82.0,82.0
Durand,82.0,82.0,82.0,82.0
Belyzium,81.33333333333333,83.0,83.0,78.0
To'ak (Ecuatoriana),81.0,81.0,81.0,81.0
Hotel Chocolat,80.0,70.0,100.0,70.0
Enric Rovira (Claudio Corallo),80.0,80.0,80.0,80.0
L'Amourette,80.0,80.0,80.0,80.0
Eclat (Fruition),80.0,80.0,80.0,80.0
Pomm (aka Dead Dog),79.0,79.0,82.0,76.0
Wilkie's Organic,78.5,75.0,89.0,75.0
Choco Del Sol,78.5,78.5,82.0,75.0
Franceschi,78.5,78.5,85.0,72.0
Confluence,78.0,78.0,78.0,78.0
DeVries,78.0,77.0,80.0,77.0
Ocho,78.0,72.0,100.0,66.0
C-Amaro,77.85714285714286,75.0,100.0,70.0
Beehive,77.5,75.0,90.0,70.0
Amatller (Simon Coll),77.5,77.5,85.0,70.0
Martin Mayer,77.33333333333333,76.0,82.0,74.0
Videri,77.22222222222223,75.0,90.0,70.0
Cocoa Forge,77.0,77.0,77.0,77.0
Heirloom Cacao Preservation (Mindo),77.0,77.0,77.0,77.0
ChocoReko,77.0,77.0,77.0,77.0
Violet Sky,77.0,77.0,77.0,77.0
Theo,77.0,75.0,91.0,65.0
Bonnat,76.78571428571429,75.0,100.0,75.0
Millesime,76.5,74.5,90.0,70.0
Willie's Cacao,76.5,71.5,100.0,69.0
Sirene,76.42857142857143,73.0,100.0,67.0
Zart Pralinen,76.33333333333333,74.0,85.0,70.0
Feitoria Cacao,76.0,76.0,76.0,76.0
Sibu,76.0,76.0,82.0,70.0
Bisou,76.0,76.0,76.0,76.0
Hoja Verde (Tulicorp),76.0,76.0,80.0,72.0
Compania de Chocolate (Salgado),76.0,72.0,88.0,70.0
Condor,76.0,76.0,76.0,76.0
Love Brown,75.75,76.5,80.0,70.0
Harper Macaw,75.6,75.0,85.0,67.0
S.A.I.D.,75.6,72.0,100.0,64.0
Habitual,75.55555555555556,74.0,100.0,65.0
Pump Street Bakery,75.5,75.0,85.0,70.0
Ritual,75.38461538461539,75.0,85.0,70.0
Bankston,75.33333333333333,72.0,82.0,72.0
sweet beans,75.25,74.5,80.0,72.0
Pangea,75.14285714285714,76.0,76.0,71.0
Muchomas (Mesocacao),75.0,75.0,80.0,70.0
Chocolate Tree,75.0,75.0,80.0,70.0
Night Owl,75.0,75.0,75.0,75.0
Nova Monda,75.0,75.0,80.0,70.0
Mestico,75.0,75.0,75.0,75.0
Mesocacao,75.0,75.0,80.0,70.0
Marigold's Finest,75.0,75.0,75.0,75.0
Perrenial,75.0,75.0,75.0,75.0
Casa,75.0,75.0,75.0,75.0
Parre Chocolat,75.0,75.0,75.0,75.0
Anahata,75.0,75.0,75.0,75.0
Animas,75.0,75.0,75.0,75.0
Kaitxo,75.0,75.0,75.0,75.0
Vintage Plantations,75.0,75.0,75.0,75.0
Kaoka (Cemoi),75.0,75.0,80.0,70.0
Five (5)Mile,75.0,75.0,75.0,75.0
Uncouth,75.0,75.0,75.0,75.0
To'ak,75.0,75.0,75.0,75.0
Taza,75.0,72.5,87.0,68.0
Taste Artisan,75.0,75.0,75.0,75.0
Sweet Escalier,75.0,75.0,75.0,75.0
Lake Champlain (Callebaut),75.0,75.0,75.0,75.0
Love Bar,75.0,75.0,75.0,75.0
Raoul Boulanger,75.0,75.0,75.0,75.0
Rancho San Jacinto,75.0,75.0,75.0,75.0
Markham & Fitz,75.0,75.0,75.0,75.0
Primo Botanica,75.0,75.0,75.0,75.0
Cacao Atlanta,75.0,75.0,75.0,75.0
MaDe Atlantic City Chocolate Bar,75.0,75.0,75.0,75.0
Fearless (AMMA),75.0,75.0,75.0,75.0
Pitch Dark,74.88888888888889,73.0,80.0,62.0
Marou,74.81818181818181,75.0,85.0,68.0
Georgia Ramon,74.75,75.0,77.0,72.0
Stone Grindz,74.66666666666667,70.0,84.0,70.0
Artisan du Chocolat,74.625,72.0,100.0,72.0
Dormouse,74.625,73.5,80.0,71.5
Kto,74.57142857142857,72.0,90.0,72.0
Indi,74.5,74.5,77.0,72.0
Blue Bandana,74.5,75.0,82.0,70.0
Soul,74.5,75.0,80.0,70.0
Solkiki,74.33333333333333,70.0,85.0,68.0
Tocoti,74.33333333333333,74.0,77.0,72.0
Middlebury,74.28571428571429,75.0,80.0,70.0
Ara,74.25,75.0,75.0,72.0
Rozsavolgyi,74.22222222222223,73.0,84.0,70.0
Raaka,74.16666666666667,72.5,85.0,70.0
Heirloom Cacao Preservation (Fruition),74.0,74.0,74.0,74.0
5150,74.0,76.0,76.0,68.0
Landmark (Amano),74.0,74.0,74.0,74.0
Mana,74.0,74.0,74.0,74.0
Monarque,74.0,74.0,76.0,72.0
Chocolate Conspiracy,74.0,74.0,74.0,74.0
Chapon,74.0,74.0,74.0,74.0
Oialla by Bojessen (Malmo),74.0,74.0,78.0,70.0
Caribeans,74.0,72.0,80.0,72.0
Cacao de Origen,74.0,75.0,77.0,70.0
Vaka,74.0,74.0,74.0,74.0
Mast Brothers,73.94444444444444,73.5,81.0,70.0
Goodnow Farms,73.85714285714286,73.0,77.0,70.0
Dick Taylor,73.84210526315789,74.0,80.0,70.0
Shark Mountain,73.83333333333333,73.5,77.0,72.0
Mellow,73.75,70.0,85.0,70.0
Orfeve,73.75,75.0,75.0,70.0
twenty-four blackbirds,73.71428571428571,75.0,75.0,68.0
Luisa Abram,73.66666666666667,70.0,81.0,70.0
ENNA,73.5,73.5,75.0,72.0
Double Spiral,73.33333333333333,75.0,75.0,70.0
Definite,73.33333333333333,70.0,80.0,70.0
Marana,73.33333333333333,70.0,80.0,70.0
Fruition,73.3076923076923,74.0,85.0,66.0
Ranger,73.25,71.5,80.0,70.0
Ruket,73.2,72.0,77.0,70.0
Benoit Nihant,73.16666666666667,73.5,74.0,72.0
Odyssey,73.07692307692308,70.0,100.0,70.0
Cuna de Piedra,73.0,73.0,73.0,73.0
Zotter,73.0,73.5,75.0,70.0
Cloudforest,73.0,73.0,73.0,73.0
Madre,73.0,73.0,73.0,73.0
Chocolibrium,73.0,73.0,76.0,70.0
Rogue,72.8125,72.5,80.0,70.0
Hogarth,72.66666666666667,71.0,85.0,66.0
Montecristi,72.66666666666667,70.0,85.0,63.0
Sublime Origins,72.5,72.5,78.0,67.0
Belvie,72.5,72.5,75.0,70.0
Solomons Gold,72.5,72.5,75.0,70.0
Shattell,72.5,72.5,75.0,70.0
Tala,72.5,72.5,75.0,70.0
Beau Cacao,72.5,72.5,73.0,72.0
Loon,72.5,72.5,75.0,70.0
Ocelot,72.5,72.5,75.0,70.0
Great Lakes,72.5,72.5,75.0,70.0
Cacaosuyo,72.5,70.0,80.0,70.0
