,p-value,coef,name
23,0.008718428641587683,0.2344440067948531,balanced
38,0.002504779265028653,0.8687936284005531,black current
43,0.0005182543547672647,0.4200812087050363,blackberry
47,0.015474968745455068,0.9707704043158387,blueberries
59,0.03637185541948601,0.20692073134523548,bright fruit
70,0.018722720587131546,0.7144068930011964,burnt brownie
97,0.026262192148188687,0.4642759172702293,cardamom
98,0.010705475425652143,0.7147301016617211,cardamon
120,0.010705475425655649,0.7147301016616898,chocolate and grapes
128,0.04846589508582541,0.36511473306880915,cinamon
129,0.010705475425652408,0.7147301016617187,cinamon and nutmeg
148,0.003400154531597692,0.19770755447538713,complex
154,2.1468524374424053e-11,0.25708189809655474,creamy
160,0.005004582051660394,0.25516880633878636,dark berry
169,0.006809833353710737,0.40597652212133606,deep cocoa
178,0.010705475425652897,0.7147301016617145,distinct choco and graham
191,0.004160047624428434,0.1525371938380397,dried fruit
220,0.035952954001360345,0.8204357054762954,floral notes
223,0.04560790689704719,0.32752242767203354,fragrant
227,0.027924955964914473,0.1244365636134227,fruity
243,0.008558469751804378,0.28757365095329646,grape
245,0.002588792050881396,0.2700834593756394,grapes
246,0.010705475425651121,0.7147301016617305,grapes and honey
270,0.03734748544070079,0.8818482611580862,herb
417,0.02014483698132604,0.49648501349517904,minty
442,0.014891724193091357,0.0824023791977942,nutty
459,0.014206269339390133,0.2762832999055027,orange
478,0.04281970272850677,0.5802856818959858,perfectly balanced roast
490,0.025494794830071697,0.3018970994861936,powerful
492,0.007055627365491494,0.8174967216453592,pronounced berry
505,0.02486861622930516,0.6364111284169307,raspberries
506,8.492679862538912e-05,0.4840319297902975,raspberry
511,0.0179864628000409,0.12015249905063935,rich
515,0.037584057973222604,0.32030598374932673,rich choco
587,0.040806579191544255,0.13867374882579453,smoke
592,0.025814362955728296,0.17715872202729865,smooth
616,0.0021464484753732234,0.20289603774931408,spice
656,0.016599215464182183,0.8006323781316298,sunflower
663,0.021179545536948393,0.6442943961854721,sweet spice
667,0.005395730016623899,0.7764788038803485,tangerine
671,0.02327919436364351,0.11926415819620478,tart
687,0.00917523043379134,0.4445532403337502,tropical
