Review Date,mean cocoa percent,median cocoa percent,max cocoa percent,min cocoa percent
2006,75.45454545454545,75.0,100.0,70.0
2007,73.91304347826087,70.0,100.0,60.0
2008,75.39285714285714,70.5,100.0,60.0
2009,72.85454545454546,72.0,100.0,64.0
2010,72.33,72.0,100.0,55.0
2011,71.3695652173913,70.0,88.0,60.0
2012,71.95575221238938,70.0,100.0,60.0
2013,74.37894736842105,72.0,100.0,55.0
2014,72.80194805194805,72.0,100.0,60.0
2015,72.12871287128714,70.0,100.0,57.0
2016,72.60365853658537,70.0,100.0,60.0
2017,71.725,70.0,81.0,60.0
2018,71.2936046511628,70.0,85.0,60.0
2019,72.03435114503817,70.0,85.0,65.0
2020,70.80597014925372,70.0,75.0,65.0
2021,72.1951219512195,70.0,100.0,66.0
